SaleID,SaleDate,UserID,CompanyLocationID
7630,2022-01-30,73,6
7631,2022-01-30,14,5
7633,2022-01-30,84,1
7637,2022-01-30,57,10
7638,2022-01-30,95,4
7642,2022-01-30,15,8
7643,2022-01-30,71,2
7644,2022-01-30,57,10
7645,2022-01-30,95,4
7646,2022-01-30,12,2
7650,2022-01-30,71,2
7651,2022-01-30,88,6
7654,2022-01-30,84,1
7657,2022-01-30,15,8
7661,2022-01-30,57,10
7662,2022-01-30,12,2
7663,2022-01-30,84,1
7667,2022-01-30,15,8
7672,2022-01-30,71,2
7673,2022-01-30,14,5
7674,2022-01-30,93,5
7675,2022-01-30,84,1
7679,2022-01-30,15,8
7685,2022-01-30,15,8
7687,2022-01-30,86,8
7688,2022-01-30,84,1
7689,2022-01-30,93,5
7690,2022-01-30,15,8
7691,2022-01-30,88,6
7696,2022-01-30,86,8
7697,2022-01-30,15,8
7699,2022-01-30,88,6
7705,2022-01-30,15,8
7707,2022-01-30,84,1
7709,2022-01-30,84,1
7714,2022-01-30,88,6
7715,2022-01-30,88,6
7723,2022-01-30,57,10
7725,2022-01-30,86,8
7726,2022-01-30,93,5
7733,2022-01-30,47,7
7734,2022-01-30,47,7
7739,2022-01-30,47,7
7744,2022-01-30,73,6
7745,2022-01-30,71,2
7746,2022-01-30,93,5
7748,2022-01-30,47,7
7750,2022-01-30,88,6
7751,2022-01-30,93,5
7754,2022-01-30,88,6
7757,2022-01-30,47,7
7758,2022-01-30,86,8
7760,2022-01-30,47,7
7764,2022-01-30,57,10
7765,2022-01-30,57,10
7766,2022-01-30,84,1
7767,2022-01-30,57,10
7770,2022-01-30,86,8
7772,2022-01-30,67,8
7773,2022-01-30,47,7
7775,2022-01-30,57,10
7776,2022-01-30,67,8
7786,2022-01-30,67,8
7788,2022-01-30,47,7
7789,2022-01-30,93,5
7790,2022-01-30,93,5
7791,2022-01-30,84,1
7797,2022-01-30,93,5
7798,2022-01-30,67,8
7799,2022-01-30,47,7
7804,2022-01-30,93,5
7805,2022-01-30,93,5
7807,2022-01-30,47,7
7808,2022-01-30,86,8
7810,2022-01-30,86,8
7812,2022-01-30,47,7
7814,2022-01-30,93,5
7816,2022-01-30,47,7
7818,2022-01-30,47,7
7819,2022-01-30,57,10
7826,2022-01-30,47,7
7827,2022-01-30,88,6
7831,2022-01-30,12,2
7836,2022-01-30,84,1
7839,2022-01-30,12,2
7841,2022-01-30,47,7
7845,2022-01-30,11,7
7846,2022-01-30,57,10
7850,2022-01-30,93,5
7855,2022-01-30,47,7
7857,2022-01-30,57,10
7861,2022-01-30,47,7
7865,2022-01-30,47,7
7866,2022-01-30,47,7
7868,2022-01-30,84,1
7871,2022-01-30,88,6
7872,2022-01-30,47,7
7873,2022-01-30,88,6
7874,2022-01-30,88,6
7875,2022-01-30,47,7
7876,2022-01-30,47,7
7881,2022-01-30,73,6
