SaleDetailID,SaleID,ProductID,Qty
12168,7630,5,1
12174,7631,54,1
12176,7633,9,1
12180,7637,9,10
12183,7638,9,1.5
12192,7642,9,1
12194,7643,9,1
12196,7644,9,1
12197,7645,1,1
12202,7646,3,1
12209,7650,54,4
12210,7651,4,1
12215,7654,9,1
12221,7657,9,1
12227,7661,3,1
12229,7662,9,2
12230,7662,4,1
12231,7663,1,3
12237,7667,9,1
12242,7672,3,1
12243,7673,9,1
12245,7674,54,1
12246,7675,9,2
12252,7679,9,1
12259,7685,1,2
12262,7687,9,1
12265,7688,54,4
12266,7689,9,2
12267,7690,1,1
12268,7691,4,1
12276,7696,3,1
12277,7697,9,1
12281,7699,3,1
12289,7705,9,2
12290,7705,1,1
12292,7707,1,2
12294,7709,9,1
12304,7714,9,1
12308,7714,54,1
12309,7715,9,1
12313,7715,54,1
12322,7723,9,1
12324,7725,9,1
12325,7726,9,1
12333,7733,9,1
12335,7734,9,1
12341,7739,9,1
12351,7744,9,1
12353,7745,9,2
12355,7746,9,1
12360,7748,9,2
12365,7750,3,1
12367,7751,9,1
12372,7754,4,3
12376,7757,3,2
12380,7757,9,2
12381,7758,9,1
12385,7760,54,1.5
12390,7764,3,1
12391,7764,3,1
12392,7764,1,1
12393,7765,9,1
12394,7766,1,1
12395,7766,1,3
12396,7766,3,1
12397,7767,5,1
12400,7770,9,1
12402,7772,1,1
12403,7773,3,2
12406,7775,9,1
12407,7776,9,1
12424,7786,4,4
12427,7788,1,1
12428,7788,9,2
12429,7789,9,1
12433,7790,9,2
12435,7791,54,1
12447,7797,1,2
12448,7798,1,1
12449,7798,54,1
12450,7799,9,1.5
12457,7804,1,1
12458,7805,9,1
12460,7807,54,1
12461,7808,9,1
12463,7810,9,1
12466,7812,1,1
12471,7814,9,1
12473,7816,1,2.5
12478,7818,1,1
12479,7819,9,1
12487,7826,9,1
12488,7827,1,1
12493,7831,3,1
12498,7836,1,1
12499,7836,3,1
12504,7839,54,5
12509,7841,9,1
12513,7845,1,1
12515,7845,3,2
12517,7846,1,1
12523,7850,9,1
12530,7855,9,3
12532,7857,9,1
12538,7861,9,1
12544,7865,1,1
12545,7866,1,1
12547,7868,9,2
12552,7871,9,2
12554,7872,1,1
12555,7873,1,1
12556,7874,9,1
12557,7875,9,1
12558,7876,9,1
12563,7881,1,2
12567,7883,9,2
12573,7886,54,1
12580,7891,1,2
12586,7894,9,1
12587,7895,9,2
12591,7898,9,1
12594,7900,54,3
12599,7903,3,1
12601,7905,3,1
12602,7906,4,4
12604,7907,9,4
12608,7909,4,1
12609,7910,9,2
12610,7911,1,3
12614,7914,1,1
12619,7917,3,2
12627,7924,3,1
12637,7929,3,1
12640,7932,1,2
12642,7932,9,2
12655,7938,1,1
12656,7939,4,5
12658,7940,9,1
12663,7944,9,2
12668,7949,9,1
12669,7949,9,1
12671,7951,54,1.5
12675,7955,1,3
12678,7956,3,2
12680,7958,9,1
12681,7959,1,1
12682,7960,54,1
12684,7962,1,1
12685,7963,54,1
12687,7963,9,1
12695,7969,9,1
12696,7970,54,3
12702,7976,1,1
12705,7977,1,2
12707,7978,9,1
12709,7980,3,5
12714,7982,3,1
12715,7982,9,3
12721,7986,54,1
12726,7989,1,1
12727,7989,1,1
12733,7995,54,1
12736,7998,1,1
12737,7999,9,1
12740,8002,1,1
12742,8004,1,1
12743,8005,9,1
12754,8013,54,2
12757,8015,9,1
12760,8016,9,4
12761,8016,1,2
12764,8019,1,3
12765,8020,3,1
12767,8021,3,1
12769,8023,5,1
12771,8025,9,3
12773,8026,3,2.5
12774,8027,54,5
12780,8032,3,1
12785,8035,1,1
12790,8038,9,1
12791,8039,1,2
12805,8049,9,1
12807,8050,9,2
12812,8054,3,2
12813,8055,9,1
12817,8059,3,1
12821,8063,1,1
12824,8066,3,2
12833,8074,3,2
12834,8075,3,2
12837,8077,9,2
12838,8078,3,2
12840,8080,54,3
12844,8083,3,1
12846,8085,9,1
12847,8086,3,1
12849,8088,9,1.5
12850,8089,9,1
12851,8090,3,3
12853,8091,9,1
12854,8091,5,1
12856,8093,3,1
12857,8094,3,1
12860,8096,3,1
12863,8098,1,1
12865,8100,3,1
12867,8101,1,1
12869,8103,1,2
12870,8104,1,2
12872,8105,9,2
12873,8106,1,2
12874,8107,3,1
12875,8108,1,4
12876,8109,3,1.5
12877,8110,1,1
12881,8112,9,1
12886,8117,1,1
12891,8122,9,1
12892,8122,9,2
12893,8123,9,1
12896,8126,1,3
12897,8127,1,1
12899,8129,9,1
12900,8129,9,1
12901,8129,1,2
12910,8138,9,4
12914,8141,9,1
12918,8144,1,1
12920,8145,9,1
12921,8145,9,1
12923,8147,3,1
12924,8148,1,2
12933,8154,54,2
12935,8154,1,1
12938,8157,9,1
12939,8158,9,1
12940,8159,1,1
12941,8160,9,1
12943,8162,1,1
12944,8163,9,2
12945,8164,9,1
12946,8165,1,1
12947,8166,1,2
12949,8168,9,1
12952,8170,9,1
12954,8172,9,1
12958,8175,54,1
12961,8176,1,1.5
12963,8178,1,1
12967,8182,9,2
12971,8184,1,1
12978,8185,54,1.5
12980,8187,1,1
12981,8188,1,2
12982,8188,5,1
12983,8188,9,1
12986,8190,9,2
12991,8193,1,2
12992,8193,9,1
12995,8195,1,1
12998,8197,4,1
12999,8198,9,2
13002,8201,1,1
13009,8208,9,1
13011,8210,9,1
13014,8212,9,1
13017,8214,1,2
13018,8215,1,4.5
13024,8219,54,2
13026,8220,1,1
13028,8221,3,2
13032,8225,1,1
13033,8225,3,1
13034,8225,3,2
13036,8227,3,2
13041,8230,1,1
13048,8236,9,2
13050,8238,1,1
13051,8239,9,1
13055,8242,3,2
13061,8247,1,1
13062,8248,5,2
13064,8250,54,1
13066,8252,1,1
13068,8253,9,1
13069,8254,9,1
13070,8254,1,2
13071,8255,9,1
13075,8258,1,1
13076,8259,9,1
13077,8259,9,2
13082,8263,1,1
13084,8265,9,1
13085,8266,9,1
13086,8267,1,2
13091,8271,5,1
13093,8273,1,1
13095,8274,9,1
13097,8276,9,2
13098,8277,1,1
13101,8278,3,4
13102,8279,3,3
13112,8284,9,1
13114,8286,1,1
13117,8288,1,1
13118,8289,1,1
13119,8289,3,9
13125,8294,3,1
13129,8297,9,1
13133,8301,9,1
13134,8302,1,1
13136,8303,9,1
13137,8304,9,1
13138,8305,9,1
13139,8306,54,1
13143,8307,54,1
13148,8309,3,1
13152,8311,9,1.5
13157,8314,9,2
13158,8314,3,1
13162,8317,3,4
13165,8318,4,1
13166,8319,9,1
13170,8322,1,1
13171,8322,54,1
13173,8324,9,1
13174,8325,1,3
13176,8326,1,2
13180,8329,1,2
13181,8330,5,1
13182,8331,9,1
13187,8335,1,1
13190,8337,3,4
13192,8338,9,1.5
13193,8339,1,2
13197,8340,9,1
13198,8340,54,4
13199,8340,3,1
13202,8342,1,1
13203,8342,1,3
13204,8343,9,1
13205,8344,9,1
13206,8345,9,1
13208,8347,3,2
13209,8348,9,1
13210,8349,9,5
13212,8349,54,1
13216,8353,1,1
13223,8358,9,1
13224,8359,3,1
13225,8360,1,1
13227,8361,1,2
13229,8363,3,1
13233,8366,54,2
13235,8367,1,1
13238,8370,3,3
13239,8370,1,2
13241,8372,1,4
13242,8373,3,1
13243,8374,9,1.5
13244,8375,1,2
13245,8376,1,2
13254,8385,1,1
13256,8386,9,1
13257,8387,1,1
13258,8388,9,1
13266,8395,54,1
13268,8396,9,1
13271,8397,1,2
13272,8398,3,1
13273,8398,3,1
13275,8399,9,1
13277,8400,1,1
13280,8401,1,2
13282,8403,5,2
13285,8405,1,2
13288,8406,1,2
13289,8407,1,3
13292,8409,1,1
13294,8410,3,1
13295,8411,9,1
13297,8413,1,3
13298,8413,3,2
13300,8415,1,1
13301,8416,1,1
13305,8419,54,2
13310,8423,9,1
13315,8427,9,1
13317,8428,9,1
13323,8430,3,1
13326,8433,9,1
13328,8435,1,1
13329,8435,1,1
13333,8437,9,1
13335,8438,9,1
13336,8439,9,1
13339,8440,9,2
13341,8441,9,2
13342,8442,9,3
13343,8442,1,1
13345,8443,9,1
13346,8443,9,1
13347,8443,1,1
13351,8444,54,2
13352,8445,54,1
13365,8453,1,1
13373,8457,1,1
13374,8457,9,1
13377,8459,9,2
13383,8461,1,1
13384,8461,4,1
13386,8463,1,1
13387,8463,1,1
13389,8465,9,1
13390,8465,3,2
13391,8465,1,1
13410,8475,9,1
13418,8479,54,1
13419,8480,9,1
13428,8486,1,2
13429,8487,9,1
13437,8491,1,1
13442,8493,9,1
13449,8497,1,1
13452,8499,9,2
13457,8500,1,1
13458,8501,9,1
13460,8503,9,1
13461,8503,1,1
13464,8506,9,2
13475,8512,3,1
13476,8512,9,1
13483,8516,9,1
13484,8516,54,1
13501,8527,1,1
13502,8527,9,3
13505,8529,9,2
13507,8531,1,1
13508,8531,3,1
13510,8532,9,1
13512,8532,3,1
13513,8533,1,1
13520,8536,9,1
13522,8536,54,2
13527,8538,9,1
13529,8540,9,1
13532,8543,9,1
